('s9', 'MVC') , 3
('s2', 'Translation') , 21
('s4', 'Transcription') , 10
('s5', 'Website Management') , 4
('s7', 'Codeigniter') , 8
('s8', 'Web Development') , 4
('s2', 'Video Services') , 17
('s3', 'Animation') , 14
('s4', 'Video Editing') , 13
('s5', 'Creative Design') , 9
('s10', 'Hadoop') , 1
('s2', 'Software Testing') , 4
('s4', 'Big Data') , 3
('s7', 'Python') , 7
('s8', 'Video Upload') , 2
('s9', 'Azure') , 1
('s3', 'Photo Editing') , 31
('s6', '3D Rendering') , 10
('s7', '3ds Max') , 7
('s8', '3D Modelling') , 6
('s9', '3D Design') , 12
('s1', 'C# Programming') , 24
('s10', 'MVC') , 1
('s2', 'ASP.NET') , 4
('s3', '.NET') , 11
('s5', 'Microsoft Access') , 2
('s8', 'Visual Basic') , 9
('s3', '3D Design') , 8
('s6', 'Home Design') , 3
('s8', 'Word') , 5
('s9', 'Brochure Design') , 10
('s1', 'Engineering') , 6
('s10', 'Interior Design') , 6
('s3', 'Building Architecture') , 10
('s4', 'CAD/CAM') , 8
('s5', 'Civil Engineering') , 4
('s6', 'Structural Engineering') , 1
('s7', 'Engineering Drawing') , 3
('s8', '3D Rendering') , 4
('s5', 'Advertisement Design') , 11
('s8', 'Flyer Design') , 22
('s7', 'jQuery / Prototype') , 16
('s8', 'Open Cart') , 3
('s2', 'Flyer Design') , 9
('s3', 'Brochure Design') , 25
('s7', 'Corporate Identity') , 16
('s10', 'J2EE') , 1
('s3', 'Email Developer') , 1
('s5', 'Steam API') , 1
('s7', 'Website Testing') , 4
('s10', 'Word') , 7
('s3', 'Web Search') , 43
('s4', 'Virtual Assistant') , 15
('s5', 'Research') , 23
('s6', 'Web Scraping') , 28
('s7', 'Leads') , 9
('s8', 'Internet Marketing') , 14
('s3', 'Photography') , 8
('s2', 'Ruby') , 3
('s3', 'Coding') , 1
('s6', 'Python') , 11
('s7', 'Ruby on Rails') , 1
('s8', 'AJAX') , 11
('s9', 'Game Design') , 3
('s1', 'Ruby on Rails') , 4
('s6', 'jQuery / Prototype') , 12
('s7', 'Ruby') , 2
('s10', 'Translation') , 9
('s3', 'Ubuntu') , 3
('s4', 'Network Administration') , 5
('s5', 'Programming') , 6
('s7', 'DOS') , 1
('s8', 'Raspberry Pi') , 1
('s1', 'Legal Writing') , 1
('s10', 'Social Media Marketing') , 6
('s2', 'Legal') , 3
('s3', 'Data Entry') , 36
('s4', 'Legal Research') , 2
('s6', 'Virtual Assistant') , 14
('s7', 'Contracts') , 1
('s8', 'Business Plans') , 5
('s9', 'Property Law') , 1
('s10', 'Photography') , 6
('s9', 'Legal') , 1
('s4', 'Caricature & Cartoons') , 13
